quote_datetime,expiration,strike,underlying_bid,bid,ask,ticker
2026-04-16 14:58:25,2026-06-26,160000.0,74846.72,7.484672000000001,22.454016,BTC
2026-04-16 14:58:25,2026-06-26,72000.0,74846.72,7260.13184,7372.40192,BTC
2026-04-16 14:58:25,2026-12-25,56000.0,74846.72,23427.02336,23838.68032,BTC
2026-04-16 14:58:25,2026-05-29,72000.0,74846.72,5987.7376,6100.007680000001,BTC
2026-04-16 14:58:25,2026-06-26,64000.0,74846.72,12761.36576,13023.32928,BTC
2026-04-16 14:58:25,2026-06-26,230000.0,74846.72,7.484672000000001,22.454016,BTC
2026-04-16 14:58:25,2027-03-26,120000.0,74846.72,3218.4089599999998,3368.1023999999998,BTC
2026-04-16 14:58:25,2026-04-18,66000.0,74846.72,8495.10272,11039.8912,BTC
2026-04-16 14:58:25,2026-09-25,190000.0,74846.72,37.42336,59.877376000000005,BTC
2026-04-16 14:58:25,2026-09-25,64000.0,74846.72,15418.42432,15755.234559999999,BTC
2026-04-16 14:58:25,2026-05-29,62000.0,74846.72,13622.10304,13884.06656,BTC
2026-04-16 14:58:25,2026-12-25,50000.0,74846.72,28067.52,28479.17696,BTC
2026-04-16 14:58:25,2026-04-24,54000.0,74846.72,18861.37344,22678.55616,BTC
2026-04-16 14:58:25,2026-05-29,64000.0,74846.72,11863.20512,12125.16864,BTC
2026-04-16 14:58:25,2026-05-29,63000.0,74846.72,12761.36576,12985.90592,BTC
2026-04-16 14:58:25,2026-04-24,45000.0,74846.72,29788.994560000003,29976.111360000003,BTC
2026-04-16 14:58:25,2026-05-29,58000.0,74846.72,17327.01568,17551.55584,BTC
2026-04-16 14:58:25,2026-12-25,64000.0,74846.72,17963.2128,18225.17632,BTC
2026-04-16 14:58:25,2026-05-01,64000.0,74846.72,10852.7744,11376.70144,BTC
2026-04-16 14:58:25,2026-12-25,95000.0,74846.72,5314.11712,5426.3872,BTC
2026-04-16 14:58:25,2026-04-17,68000.0,74846.72,6773.62816,6998.16832,BTC
2026-04-16 14:58:25,2026-09-25,95000.0,74846.72,2806.752,2919.02208,BTC
2026-04-16 14:58:25,2026-09-25,35000.0,74846.72,40492.075520000006,40679.19232,BTC
2026-04-16 14:58:25,2026-06-26,240000.0,74846.72,7.484672000000001,22.454016,BTC
2026-04-16 14:58:25,2026-04-19,76000.0,74846.72,449.08032000000003,523.92704,BTC
2026-04-16 14:58:25,2026-09-25,200000.0,74846.72,22.454016,52.392704,BTC
2026-04-16 14:58:25,2026-04-20,74500.0,74846.72,1272.39424,1347.2409599999999,BTC
2026-04-16 14:58:25,2026-05-29,83000.0,74846.72,1496.9344,1534.35776,BTC
2026-04-16 14:58:25,2026-05-29,65000.0,74846.72,11039.8912,11339.27808,BTC
2026-04-16 14:58:25,2027-03-26,110000.0,74846.72,4490.8032,4677.92,BTC
2026-04-16 14:58:25,2026-09-25,145000.0,74846.72,172.147456,202.08614400000002,BTC
2026-04-16 14:58:25,2026-04-24,82000.0,74846.72,127.239424,149.69344,BTC
2026-04-16 14:58:25,2026-09-25,160000.0,74846.72,89.816064,112.27008000000001,BTC
2026-04-16 14:58:25,2026-04-19,71500.0,74846.72,1384.6643199999999,5276.693759999999,BTC
2026-04-16 14:58:25,2026-12-25,98000.0,74846.72,4677.92,4790.19008,BTC
2026-04-16 14:58:25,2026-05-01,75000.0,74846.72,2469.94176,2544.78848,BTC
2026-04-16 14:58:25,2026-09-25,86000.0,74846.72,4902.4601600000005,4977.30688,BTC
2026-04-16 14:58:25,2026-12-25,115000.0,74846.72,2245.4016,2357.67168,BTC
2026-04-16 14:58:25,2026-05-01,60000.0,74846.72,14744.80384,15268.73088,BTC
2026-04-16 14:58:25,2026-04-24,78000.0,74846.72,636.19712,673.6204799999999,BTC
2026-04-16 14:58:25,2027-03-26,64000.0,74846.72,20096.34432,20433.154560000003,BTC
2026-04-16 14:58:25,2026-04-17,60000.0,74846.72,13360.139519999999,17065.05216,BTC
2026-04-16 14:58:25,2026-04-20,75500.0,74846.72,785.89056,860.73728,BTC
2026-04-16 14:58:25,2027-03-26,50000.0,74846.72,29414.760960000003,30013.534720000003,BTC
2026-04-16 14:58:25,2026-05-08,90000.0,74846.72,127.239424,157.178112,BTC
2026-04-16 14:58:25,2026-06-26,180000.0,74846.72,7.484672000000001,22.454016,BTC
